Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
Moonee Ponds,75 Scott Street,5,h,1900000.0,VB,Nelson,2016-10-15,6.9,3039,5,3,2,646.0,261.0,1925,Moonee Valley,-37.7625,144.9074,Western Metropolitan,6232
Moonee Ponds,83 Scott Street,3,t,890500.0,S,Brad,2016-10-15,6.9,3039,3,2,1,213.0,151.96764988779805,1950,Moonee Valley,-37.7631,144.9073,Western Metropolitan,6232
Moonee Ponds,44 Vine Street,5,h,2340000.0,S,Rendina,2016-10-15,6.9,3039,5,3,3,619.0,372.0,2009,Moonee Valley,-37.7691,144.9321,Western Metropolitan,6232
Moonee Ponds,2 Addison Street,3,h,1370000.0,S,Nelson,2016-04-16,6.9,3039,3,1,2,427.0,151.96764988779805,1964,Moonee Valley,-37.7702,144.9266,Western Metropolitan,6232
Moonee Ponds,61 Athol Street,3,h,1400000.0,SP,Brad,2016-04-16,6.9,3039,3,2,2,394.0,160.0,1890,Moonee Valley,-37.7699,144.9149,Western Metropolitan,6232
Moonee Ponds,22 McPherson Street,4,h,1310000.0,S,Jellis,2016-04-16,6.9,3039,3,3,2,475.0,151.96764988779805,1964,Moonee Valley,-37.7609,144.9285,Western Metropolitan,6232
Moonee Ponds,4 Milverton Street,4,h,1833000.0,SP,Jellis,2016-04-16,6.9,3039,4,1,1,583.0,151.96764988779805,1964,Moonee Valley,-37.7682,144.9151,Western Metropolitan,6232
Moonee Ponds,49 Derby Street,3,h,855000.0,S,Brad,2016-07-16,6.9,3039,3,1,1,274.0,151.96764988779805,1964,Moonee Valley,-37.7641,144.9112,Western Metropolitan,6232
Moonee Ponds,172 Maribyrnong Road,3,h,930000.0,S,Brad,2016-07-16,6.9,3039,2,1,1,305.0,151.96764988779805,1900,Moonee Valley,-37.7711,144.9122,Western Metropolitan,6232
Moonee Ponds,20 Robinson Street,4,h,1640000.0,S,Brad,2016-07-16,6.9,3039,4,2,1,435.0,329.0,1920,Moonee Valley,-37.7601,144.9228,Western Metropolitan,6232
Moonee Ponds,38 Addison Street,3,h,1480000.0,S,Alexkarbon,2016-09-17,6.9,3039,3,1,2,436.0,142.0,1910,Moonee Valley,-37.7704,144.9292,Western Metropolitan,6232
Moonee Ponds,1/19 Montague Street,2,u,672000.0,SP,Nelson,2016-09-17,6.9,3039,2,1,2,230.0,151.96764988779805,1989,Moonee Valley,-37.7595,144.9317,Western Metropolitan,6232
Moonee Ponds,6/9 St James Street,2,u,410000.0,S,Brad,2016-09-17,6.9,3039,2,1,1,59.0,59.0,1970,Moonee Valley,-37.7597,144.9188,Western Metropolitan,6232
Moonee Ponds,38 Margaret Street,2,h,1055000.0,S,Moonee,2017-03-18,6.9,3039,2,1,1,292.0,151.96764988779805,1964,Moonee Valley,-37.7642,144.9195,Western Metropolitan,6232
Moonee Ponds,120 Maribyrnong Road,2,u,440000.0,VB,Barry,2017-03-18,6.9,3039,2,1,1,151.96764988779805,151.96764988779805,1964,Moonee Valley,-37.7715,144.9155,Western Metropolitan,6232
Moonee Ponds,70 Salisbury Street,3,h,1435000.0,S,Nelson,2017-03-18,6.9,3039,3,1,3,633.0,151.96764988779805,1964,Moonee Valley,-37.7608,144.9322,Western Metropolitan,6232
Moonee Ponds,3 Sussex Street,4,h,1275000.0,S,Nelson,2017-03-18,6.9,3039,4,2,1,627.0,151.96764988779805,1964,Moonee Valley,-37.7649,144.9091,Western Metropolitan,6232
Moonee Ponds,54 Salisbury Street,3,t,842500.0,S,Jellis,2016-06-18,6.9,3039,3,2,1,216.0,156.0,1995,Moonee Valley,-37.7607,144.9314,Western Metropolitan,6232
Moonee Ponds,31 Wordsworth Street,4,h,1345000.0,SP,Brad,2016-06-18,6.9,3039,4,2,2,313.0,193.0,1910,Moonee Valley,-37.7709,144.9288,Western Metropolitan,6232
Moonee Ponds,16/51 Buckley Street,1,u,265000.0,VB,Brad,2016-11-19,6.9,3039,1,1,1,41.0,41.0,1970,Moonee Valley,-37.758,144.9237,Western Metropolitan,6232
Moonee Ponds,79 Ormond Road,2,h,849000.0,S,Brad,2016-11-19,6.9,3039,2,1,1,345.0,95.0,1930,Moonee Valley,-37.773,144.9335,Western Metropolitan,6232
Moonee Ponds,35 Athol Street,3,h,1425000.0,SP,Brad,2016-05-22,6.9,3039,3,1,1,526.0,159.0,1900,Moonee Valley,-37.7701,144.9172,Western Metropolitan,6232
Moonee Ponds,36 Derby Street,3,t,1345000.0,SP,Barry,2016-05-22,6.9,3039,3,2,1,310.0,287.0,1930,Moonee Valley,-37.7639,144.9126,Western Metropolitan,6232
Moonee Ponds,2/118 Holmes Road,2,u,330000.0,SP,Jellis,2016-05-22,6.9,3039,3,1,1,54.0,54.0,1970,Moonee Valley,-37.7654,144.9094,Western Metropolitan,6232
Moonee Ponds,134-136 Pascoe Vale Road,4,t,726000.0,S,Nelson,2016-05-22,6.9,3039,4,2,1,67.0,145.0,2000,Moonee Valley,-37.761,144.9262,Western Metropolitan,6232
Moonee Ponds,1a Ardmillan Road,3,h,1250000.0,S,Raine,2016-04-23,6.9,3039,3,2,1,283.0,222.0,2002,Moonee Valley,-37.7638,144.9175,Western Metropolitan,6232
Moonee Ponds,100 Bent Street,3,t,870000.0,S,Nelson,2016-04-23,6.9,3039,3,2,2,156.0,152.0,2000,Moonee Valley,-37.7631,144.9357,Western Metropolitan,6232
Moonee Ponds,9 Newton Parade,2,h,801000.0,S,Brad,2016-04-23,6.9,3039,2,1,0,133.0,151.96764988779805,1964,Moonee Valley,-37.7712,144.9254,Western Metropolitan,6232
Moonee Ponds,36 Aberfeldie Street,3,h,1725000.0,PI,Nelson,2016-09-24,6.9,3039,3,2,3,596.0,203.0,1950,Moonee Valley,-37.7609,144.905,Western Metropolitan,6232
Moonee Ponds,1/5 Park Street,1,u,415000.0,S,Weda,2016-09-24,6.9,3039,1,1,1,151.96764988779805,151.96764988779805,1964,Moonee Valley,-37.7623,144.9211,Western Metropolitan,6232
Moonee Ponds,9 The Strand,3,u,650000.0,SP,Brad,2016-09-24,6.9,3039,3,1,1,151.96764988779805,151.96764988779805,1964,Moonee Valley,-37.7606,144.9236,Western Metropolitan,6232
Moonee Ponds,6 Turner Street,2,u,600000.0,S,Woodards,2016-09-24,6.9,3039,2,1,1,166.0,81.0,1965,Moonee Valley,-37.7624,144.9365,Western Metropolitan,6232
Moonee Ponds,25 Wilson Street,4,h,1505000.0,S,Frank,2017-02-25,6.9,3039,4,2,2,441.0,164.0,1910,Moonee Valley,-37.7627,144.9278,Western Metropolitan,6232
Moonee Ponds,36 Scotia Street,3,h,850000.0,S,Nelson,2016-07-26,6.9,3039,3,2,1,271.0,143.0,1915,Moonee Valley,-37.7682,144.9058,Western Metropolitan,6232
Moonee Ponds,5/51 Buckley Street,1,u,292000.0,S,Barry,2016-06-27,6.9,3039,1,1,1,45.0,45.0,1970,Moonee Valley,-37.758,144.9237,Western Metropolitan,6232
Moonee Ponds,17 Orford Street,2,h,956000.0,SP,Nelson,2016-06-27,6.9,3039,2,1,2,435.0,151.96764988779805,1920,Moonee Valley,-37.7692,144.9042,Western Metropolitan,6232
Moonee Ponds,2 Parry Street,5,h,1740000.0,S,Brad,2016-06-27,6.9,3039,4,1,2,739.0,155.0,1930,Moonee Valley,-37.7613,144.9177,Western Metropolitan,6232
Moonee Ponds,28 Vine Street,3,h,1683000.0,SP,Rendina,2016-06-27,6.9,3039,3,2,2,222.0,151.96764988779805,1880,Moonee Valley,-37.7688,144.9291,Western Metropolitan,6232
Moonee Ponds,30 Holmes Road,2,u,574000.0,S,Jellis,2016-11-27,6.9,3039,2,2,1,159.0,151.96764988779805,1964,Moonee Valley,-37.7666,144.9184,Western Metropolitan,6232
Moonee Ponds,13 Moore Street,2,u,470000.0,VB,Nelson,2016-11-27,6.9,3039,2,1,1,65.0,65.0,2014,Moonee Valley,-37.7677,144.92,Western Metropolitan,6232
Moonee Ponds,1/263 Union Road,3,t,1130000.0,S,Brad,2016-11-27,6.9,3039,3,2,2,217.0,145.0,2013,Moonee Valley,-37.7704,144.9162,Western Metropolitan,6232
Moonee Ponds,16 Capulet Street,2,u,730000.0,SP,Woodards,2016-05-28,6.9,3039,2,1,2,217.0,151.96764988779805,1964,Moonee Valley,-37.7609,144.9308,Western Metropolitan,6232
Moonee Ponds,21 Winchester Street,2,h,831000.0,S,Barry,2016-05-28,6.9,3039,2,1,1,151.96764988779805,151.96764988779805,1964,Moonee Valley,-37.7685,144.9186,Western Metropolitan,6232
Moonee Ponds,11 Bowen Street,3,h,930000.0,S,Nelson,2016-08-28,6.9,3039,3,3,1,325.0,132.0,1910,Moonee Valley,-37.7702,144.9091,Western Metropolitan,6232
Moonee Ponds,27 Moore Street,3,h,800000.0,VB,Nelson,2016-08-28,6.9,3039,2,1,1,207.0,151.96764988779805,1964,Moonee Valley,-37.7687,144.9203,Western Metropolitan,6232
Moonee Ponds,54 Ngarveno Street,3,h,1111000.0,S,Ray,2016-08-28,6.9,3039,3,1,2,502.0,151.96764988779805,1964,Moonee Valley,-37.7693,144.9299,Western Metropolitan,6232
Moonee Ponds,3 Norfolk Street,2,h,900000.0,S,Nelson,2016-08-28,6.9,3039,2,1,1,339.0,151.96764988779805,1964,Moonee Valley,-37.7651,144.9078,Western Metropolitan,6232
Moonee Ponds,3 Victoria Street,2,h,822500.0,S,Nelson,2016-08-28,6.9,3039,3,1,1,219.0,151.96764988779805,1900,Moonee Valley,-37.7627,144.9141,Western Metropolitan,6232
Moonee Ponds,33 Walker Street,4,h,1400000.0,S,Jellis,2016-08-28,6.9,3039,3,2,2,595.0,151.96764988779805,1964,Moonee Valley,-37.7641,144.9265,Western Metropolitan,6232
Moonee Ponds,4/7 York Street,1,u,336000.0,S,Brad,2016-08-28,6.9,3039,1,1,1,50.0,50.0,1980,Moonee Valley,-37.7652,144.9116,Western Metropolitan,6232
Moonee Ponds,4/208 Bowen Street,2,t,800000.0,S,Nelson,2016-07-30,6.9,3039,2,2,2,239.0,120.0,1970,Moonee Valley,-37.7708,144.9093,Western Metropolitan,6232
Moorabbin,21 Fiddes Street,3,h,1224000.0,S,Buxton,2016-09-03,14.6,3189,3,1,3,834.0,143.0,1960,Kingston,-37.9376,145.0474,Southern Metropolitan,2555
Moorabbin,23 Fiddes Street,3,h,1020000.0,S,Buxton,2016-09-03,14.6,3189,3,1,3,771.0,151.96764988779805,1964,Kingston,-37.9375,145.0474,Southern Metropolitan,2555
Moorabbin,19 Hamer Street,3,h,1000000.0,S,O'Brien,2016-09-03,14.6,3189,3,2,2,573.0,150.0,1970,Kingston,-37.9428,145.04399999999995,Southern Metropolitan,2555
Moorabbin,6/1015 Nepean Highway,1,u,380500.0,S,Ray,2016-09-03,14.6,3189,1,1,1,106.0,51.0,1990,Kingston,-37.9374,145.0388,Southern Metropolitan,2555
Moorabbin,7 Barbara Street,3,h,1090000.0,SP,Woodards,2016-12-03,14.6,3189,3,2,2,784.0,160.0,1960,Kingston,-37.9368,145.0568,Southern Metropolitan,2555
Moorabbin,16 Matilda Road,4,h,947500.0,S,McGrath,2016-12-03,14.6,3189,4,2,2,609.0,16.0,1964,Kingston,-37.9416,145.058,Southern Metropolitan,2555
Moorabbin,163 Rowans Road,3,h,836000.0,S,Woodards,2016-12-03,14.6,3189,3,1,4,695.0,165.0,1970,Kingston,-37.9364,145.0559,Southern Metropolitan,2555
Moorabbin,42 Bulli Street,3,h,1417250.0,S,Buxton,2016-02-04,14.6,3189,3,2,2,653.0,180.0,1950,Kingston,-37.9418,145.0549,Southern Metropolitan,2555
Moorabbin,10 Avon Street,3,h,980000.0,SP,Buxton,2017-03-04,14.6,3189,3,1,2,623.0,119.0,1964,Kingston,-37.9404,145.046,Southern Metropolitan,2555
Moorabbin,48 Matilda Road,3,h,1110000.0,S,Woodards,2017-03-04,14.6,3189,3,1,4,690.0,151.96764988779805,1964,Kingston,-37.9386,145.0585,Southern Metropolitan,2555
Moorabbin,38 Grandview Grove,2,h,950000.0,SP,Buxton,2016-06-04,14.6,3189,2,1,3,649.0,75.0,1950,Kingston,-37.9424,145.0464,Southern Metropolitan,2555
Moorabbin,1/1017 Nepean Highway,3,t,750000.0,PI,Buxton,2016-05-07,14.6,3189,3,2,1,164.0,123.0,2010,Kingston,-37.9378,145.0385,Southern Metropolitan,2555
Moorabbin,1/4 Grandview Grove,3,u,931000.0,S,hockingstuart,2016-11-07,14.6,3189,3,1,2,313.0,151.96764988779805,1964,Kingston,-37.9449,145.0459,Southern Metropolitan,2555
Moorabbin,38 Royena Road,4,h,1000000.0,S,C21,2016-11-07,14.6,3189,4,3,4,581.0,159.0,1960,Kingston,-37.9382,145.0577,Southern Metropolitan,2555
Moorabbin,2/17 Barilla Road,2,u,655000.0,S,Buxton,2016-10-08,14.6,3189,2,1,1,1202.0,151.96764988779805,1964,Kingston,-37.9412,145.0465,Southern Metropolitan,2555
Moorabbin,83 Bulli Street,4,h,1200000.0,S,Buxton,2016-10-08,14.6,3189,4,2,1,696.0,214.0,1955,Kingston,-37.9398,145.0554,Southern Metropolitan,2555
Moorabbin,14 Avon Street,3,h,987000.0,S,Buxton,2016-09-10,14.6,3189,3,1,1,603.0,112.0,1960,Kingston,-37.9404,145.0464,Southern Metropolitan,2555
Moorabbin,4 Genoa Street,3,h,937000.0,S,Hodges,2016-09-10,14.6,3189,3,2,1,534.0,104.0,1960,Kingston,-37.9426,145.0568,Southern Metropolitan,2555
Moorabbin,5 Schofield Street,4,h,1426000.0,S,McGrath,2016-09-10,14.6,3189,4,2,1,720.0,218.0,1950,Kingston,-37.9394,145.0408,Southern Metropolitan,2555
Moorabbin,5 Florida Court,4,h,1385000.0,S,Gary,2016-05-14,14.6,3189,4,2,2,807.0,151.96764988779805,1964,Kingston,-37.9431,145.0407,Southern Metropolitan,2555
Moorabbin,2/1 Perry Street,3,t,785000.0,S,Ray,2016-04-16,14.6,3189,3,2,2,169.0,151.96764988779805,1964,Kingston,-37.9385,145.0397,Southern Metropolitan,2555
Moorabbin,118 Rowans Road,3,h,901000.0,S,O'Brien,2016-07-16,14.6,3189,2,2,3,558.0,133.0,1955,Kingston,-37.9435,145.0522,Southern Metropolitan,2555
Moorabbin,2 Margaret Street,4,h,1300000.0,S,Woodards,2016-09-17,14.6,3189,4,3,2,743.0,171.0,1973,Kingston,-37.9362,145.0442,Southern Metropolitan,2555
Moorabbin,1 Otford Close,3,h,975000.0,S,Woodards,2016-09-17,14.6,3189,2,1,2,576.0,121.0,1940,Kingston,-37.9363,145.0495,Southern Metropolitan,2555
Moorabbin,23 Franklin Street,4,h,1070000.0,S,Buxton,2017-03-18,14.6,3189,4,2,1,603.0,140.0,1955,Kingston,-37.9381,145.0534,Southern Metropolitan,2555
Moorabbin,1/17 Baker Street,2,u,639000.0,S,Buxton/Find,2016-11-19,14.6,3189,2,1,1,83.0,79.0,1960,Kingston,-37.9355,145.0485,Southern Metropolitan,2555
Moorabbin,2/1 Rowans Road,2,u,605000.0,S,Ray,2016-11-19,14.6,3189,2,1,2,180.0,68.0,1980,Kingston,-37.9363,145.0564,Southern Metropolitan,2555
Moorabbin,1 Rhonda Court,3,h,960000.0,S,Ray,2016-11-19,14.6,3189,3,1,1,593.0,115.0,1960,Kingston,-37.9431,145.0484,Southern Metropolitan,2555
Moorabbin,13 Franklin Street,3,h,725000.0,PI,Ray,2016-05-22,14.6,3189,3,2,1,374.0,137.0,1950,Kingston,-37.939,145.0533,Southern Metropolitan,2555
Moorabbin,5 Margaret Street,3,h,981000.0,S,Buxton,2016-05-22,14.6,3189,2,1,2,601.0,151.96764988779805,1964,Kingston,-37.9361,145.0456,Southern Metropolitan,2555
Moorabbin,5 Bruthen Street,3,h,975000.0,SP,Buxton,2016-08-22,14.6,3189,3,1,2,650.0,151.96764988779805,1964,Kingston,-37.9378,145.0546,Southern Metropolitan,2555
Moorabbin,10 Beilby Street,3,h,800000.0,PI,hockingstuart,2016-07-26,14.6,3189,3,2,2,261.0,107.0,1990,Kingston,-37.9429,145.0474,Southern Metropolitan,2555
Moorabbin,56 Chapel Road,4,h,921000.0,S,Buxton,2016-07-26,14.6,3189,4,1,2,592.0,151.96764988779805,1964,Kingston,-37.9407,145.0482,Southern Metropolitan,2555
Moorabbin,52 Royena Road,3,h,890000.0,PI,Buxton,2016-07-26,14.6,3189,3,1,1,698.0,114.0,1960,Kingston,-37.9369,145.0578,Southern Metropolitan,2555
Moorabbin,51 Clay Street,3,h,1008000.0,S,McGrath,2016-06-27,14.6,3189,3,2,1,1660.0,160.0,1960,Kingston,-37.9354,145.0464,Southern Metropolitan,2555
Moorabbin,15 Biscop Road,2,h,1191000.0,S,C21,2016-11-27,14.6,3189,2,1,2,756.0,97.0,1950,Kingston,-37.94,145.0449,Southern Metropolitan,2555
Moorabbin,15 Faye Street,4,h,1130000.0,S,Buxton,2016-11-27,14.6,3189,4,1,2,638.0,151.96764988779805,1972,Kingston,-37.9378,145.05700000000004,Southern Metropolitan,2555
Moorabbin,2/3 Horsmunden Road,2,h,776000.0,S,Ray,2016-11-27,14.6,3189,2,1,1,209.0,101.0,2002,Kingston,-37.9389,145.0467,Southern Metropolitan,2555
Moorabbin,8 Barilla Road,4,h,1035000.0,S,Buxton,2016-05-28,14.6,3189,3,1,2,688.0,161.0,1950,Kingston,-37.9411,145.043,Southern Metropolitan,2555
Moorabbin,77 Chapel Road,3,h,920000.0,S,hockingstuart,2016-05-28,14.6,3189,3,1,1,653.0,151.96764988779805,1964,Kingston,-37.9392,145.0481,Southern Metropolitan,2555
Moorabbin,17 Horsmunden Road,4,h,1160000.0,S,Gary,2016-05-28,14.6,3189,4,2,2,588.0,199.0,2011,Kingston,-37.9395,145.0477,Southern Metropolitan,2555
Moorabbin,6 Wimmera Street,3,h,825000.0,PI,Buxton,2016-05-28,14.6,3189,3,1,2,538.0,151.96764988779805,1964,Kingston,-37.9454,145.0507,Southern Metropolitan,2555
Moorabbin,14 Genoa Street,1,u,240000.0,VB,Ray,2016-07-30,14.6,3189,1,1,1,43.0,43.0,1970,Kingston,-37.9428,145.0584,Southern Metropolitan,2555
Moorabbin,1/1 Perry Street,4,t,1105000.0,S,Hodges,2016-07-30,14.6,3189,3,2,2,220.0,187.0,2015,Kingston,-37.9387,145.0398,Southern Metropolitan,2555
Newport,1/26 Thorpe Street,3,h,826000.0,S,Village,2016-09-03,8.4,3015,2,1,2,281.0,100.0,1957,Hobsons Bay,-37.8457,144.8651,Western Metropolitan,5498
Newport,14 Chalmers Lane,3,h,900000.0,SP,Raine,2016-12-03,8.4,3015,3,2,2,194.0,176.0,2010,Hobsons Bay,-37.8395,144.8787,Western Metropolitan,5498
Newport,45 Milford Street,3,t,962000.0,S,Village,2016-12-03,8.4,3015,3,2,2,283.0,179.0,2011,Hobsons Bay,-37.8477,144.8753,Western Metropolitan,5498
Newport,44 Salisbury Street,2,h,800000.0,S,Williams,2017-03-04,8.4,3015,2,1,1,244.0,73.0,1940,Hobsons Bay,-37.846,144.8729,Western Metropolitan,5498
Newport,1/217 Woods Street,3,h,785000.0,S,Raine,2017-03-04,8.4,3015,3,2,2,151.96764988779805,151.96764988779805,2013,Hobsons Bay,-37.8447,144.8654,Western Metropolitan,5498
Newport,70 Market Street,4,h,710000.0,S,Greg,2016-06-04,8.4,3015,4,1,2,329.0,108.0,1955,Hobsons Bay,-37.847,144.8788,Western Metropolitan,5498
Newport,471 Melbourne Road,3,h,920000.0,VB,Williams,2016-06-04,8.4,3015,3,2,2,296.0,151.96764988779805,1910,Hobsons Bay,-37.8395,144.8825,Western Metropolitan,5498
Newport,46 River Street,4,h,940000.0,VB,Williams,2016-06-04,8.4,3015,3,2,1,379.0,172.0,1930,Hobsons Bay,-37.8408,144.8893,Western Metropolitan,5498
Newport,4/31 Clyde Street,3,h,655800.0,S,Greg,2016-08-06,8.4,3015,2,2,1,178.0,102.0,2009,Hobsons Bay,-37.8416,144.8651,Western Metropolitan,5498
Newport,51 Home Road,4,h,1082000.0,S,Village,2016-08-06,8.4,3015,4,3,2,233.0,165.0,2011,Hobsons Bay,-37.841,144.8874,Western Metropolitan,5498
Newport,3 River Street,3,h,1210000.0,SP,Williams,2016-08-06,8.4,3015,3,1,1,546.0,144.0,1920,Hobsons Bay,-37.8414,144.892,Western Metropolitan,5498
Newport,82 Charlotte Street,3,h,880000.0,S,Sweeney,2016-05-07,8.4,3015,3,1,1,557.0,111.0,1950,Hobsons Bay,-37.834,144.8668,Western Metropolitan,5498
Newport,114 Mason Street,1,u,335000.0,S,Williams,2016-05-07,8.4,3015,1,1,1,50.0,50.0,2005,Hobsons Bay,-37.8413,144.8741,Western Metropolitan,5498
Newport,53 River Street,4,h,1260000.0,PI,Village,2016-05-07,8.4,3015,4,1,3,757.0,159.0,1960,Hobsons Bay,-37.8411,144.889,Western Metropolitan,5498
Newport,1/94 The Strand,3,h,1400000.0,PI,Greg,2016-05-07,8.4,3015,3,2,3,2522.0,195.0,2006,Hobsons Bay,-37.8462,144.8944,Western Metropolitan,5498
Newport,37 Alma Terrace,3,h,995000.0,SP,Greg,2016-11-07,8.4,3015,3,1,2,316.0,118.0,1960,Hobsons Bay,-37.849,144.8907,Western Metropolitan,5498
Newport,33 Oxford Street,4,h,1380000.0,S,Williams,2016-11-07,8.4,3015,4,1,4,766.0,151.96764988779805,1964,Hobsons Bay,-37.839,144.8765,Western Metropolitan,5498
Newport,23 Alma Terrace,3,h,1220000.0,S,Williams,2016-10-08,8.4,3015,3,2,0,311.0,151.96764988779805,1920,Hobsons Bay,-37.85,144.8914,Western Metropolitan,5498
Newport,99 Anderson Street,3,h,785000.0,S,RT,2016-10-08,8.4,3015,3,1,1,185.0,151.96764988779805,1964,Hobsons Bay,-37.8447,144.8734,Western Metropolitan,5498
Newport,22 Mirls Street,2,h,962000.0,S,Village,2016-10-08,8.4,3015,2,1,1,402.0,94.0,1920,Hobsons Bay,-37.8446,144.8796,Western Metropolitan,5498
Newport,79 Blackshaws Road,4,h,860000.0,PI,Sweeney,2016-09-10,8.4,3015,3,3,2,217.0,195.0,1964,Hobsons Bay,-37.8344,144.8764,Western Metropolitan,5498
Newport,83 Challis Street,5,h,1220000.0,S,Williams,2016-09-10,8.4,3015,5,3,2,681.0,151.96764988779805,1964,Hobsons Bay,-37.8426,144.8731,Western Metropolitan,5498
Newport,40 Elizabeth Street,3,h,930000.0,SP,Williams,2016-09-10,8.4,3015,3,1,1,307.0,151.96764988779805,1964,Hobsons Bay,-37.8389,144.8779,Western Metropolitan,5498
Newport,42 Agg Street,3,h,930000.0,SP,Greg,2016-12-10,8.4,3015,3,2,1,343.0,151.96764988779805,1964,Hobsons Bay,-37.8432,144.8764,Western Metropolitan,5498
Newport,65 Keen Street,3,h,800000.0,SP,Jas,2016-12-10,8.4,3015,3,2,1,138.0,138.0,1970,Hobsons Bay,-37.8352,144.8661,Western Metropolitan,5498
Newport,7 Effingham Road,3,h,1305000.0,S,Greg,2016-12-10,8.4,3015,3,1,0,357.0,112.0,1900,Hobsons Bay,-37.8459,144.8877,Western Metropolitan,5498
Newport,14 Jubilee Street,3,h,1060000.0,SP,Sweeney,2016-12-10,8.4,3015,3,1,4,600.0,130.0,1964,Hobsons Bay,-37.8472,144.8707,Western Metropolitan,5498
Newport,2-6 Mason Street,2,u,485000.0,S,Williams,2016-12-10,8.4,3015,2,1,1,65.0,65.0,2011,Hobsons Bay,-37.8421,144.8821,Western Metropolitan,5498
Newport,3/71 Oxford Street,3,h,950000.0,S,RT,2016-12-10,8.4,3015,3,2,1,224.0,151.96764988779805,1964,Hobsons Bay,-37.8364,144.8769,Western Metropolitan,5498
Newport,20 Franklin Street,2,h,910000.0,S,Greg,2017-02-11,8.4,3015,2,1,1,264.0,151.96764988779805,1964,Hobsons Bay,-37.8469,144.8872,Western Metropolitan,5498
Newport,21 Croker Street,3,h,810000.0,S,Williams,2016-11-12,8.4,3015,3,1,1,390.0,84.0,1970,Hobsons Bay,-37.847,144.8734,Western Metropolitan,5498
Newport,7 Sydney Street,3,h,776000.0,S,RT,2016-11-12,8.4,3015,3,1,3,363.0,151.96764988779805,1964,Hobsons Bay,-37.8476,144.8673,Western Metropolitan,5498
Newport,87 Junction Street,3,h,1002500.0,S,Jas,2016-05-14,8.4,3015,3,1,2,501.0,151.96764988779805,1964,Hobsons Bay,-37.8356,144.8785,Western Metropolitan,5498
Newport,10 Port Street,3,h,807500.0,S,Sweeney,2016-05-14,8.4,3015,3,1,3,647.0,157.0,1964,Hobsons Bay,-37.8481,144.8666,Western Metropolitan,5498
Newport,1 River Street,2,h,1120000.0,S,RT,2016-05-14,8.4,3015,1,1,3,574.0,151.96764988779805,1964,Hobsons Bay,-37.8414,144.8922,Western Metropolitan,5498
Newport,21 Tait Street,3,h,950000.0,S,Greg,2016-05-14,8.4,3015,2,2,2,281.0,151.96764988779805,1950,Hobsons Bay,-37.8431,144.8845,Western Metropolitan,5498
Newport,75 Woods Street,4,h,1620000.0,S,Williams,2016-05-14,8.4,3015,4,3,1,425.0,233.0,2015,Hobsons Bay,-37.8456,144.8741,Western Metropolitan,5498
Newport,73 Farm Street,3,h,923000.0,S,Village,2016-10-15,8.4,3015,3,1,0,221.0,118.0,1900,Hobsons Bay,-37.8415,144.8852,Western Metropolitan,5498
Newport,31 Milford Street,2,h,1030000.0,S,Village,2016-10-15,8.4,3015,2,1,2,470.0,136.0,1930,Hobsons Bay,-37.8471,144.8769,Western Metropolitan,5498
Newport,105 North Road,3,h,1046000.0,SP,Sweeney,2016-10-15,8.4,3015,3,2,2,284.0,125.0,1890,Hobsons Bay,-37.8446,144.8861,Western Metropolitan,5498
Newport,5 Croker Street,3,h,716000.0,S,Williams,2016-04-16,8.4,3015,3,1,2,268.0,151.96764988779805,1964,Hobsons Bay,-37.8472,144.8754,Western Metropolitan,5498
Newport,1 Derwent Street,2,h,740000.0,S,RT,2016-04-16,8.4,3015,2,2,1,213.0,127.0,2006,Hobsons Bay,-37.8441,144.8805,Western Metropolitan,5498
Newport,91 High Street,4,h,970000.0,S,Greg,2016-04-16,8.4,3015,3,1,1,619.0,151.0,1915,Hobsons Bay,-37.839,144.8854,Western Metropolitan,5498
Newport,31 Maddox Road,3,t,735000.0,S,Williams,2016-04-16,8.4,3015,3,2,2,162.0,162.0,2007,Hobsons Bay,-37.8436,144.8691,Western Metropolitan,5498
Newport,20 Bruce Street,2,h,762000.0,S,Williams,2016-07-16,8.4,3015,2,1,2,451.0,151.96764988779805,1964,Hobsons Bay,-37.8349,144.8714,Western Metropolitan,5498
Newport,114 Mason Street,2,u,485000.0,SP,Williams,2016-07-16,8.4,3015,2,1,1,63.0,63.0,2006,Hobsons Bay,-37.8413,144.8741,Western Metropolitan,5498
Newport,153 Laurie Street,3,h,950000.0,S,Jas,2016-07-16,8.4,3015,3,1,2,453.0,145.0,1950,Hobsons Bay,-37.8414,144.8707,Western Metropolitan,5498
Newport,6 Speight Street,4,h,1280000.0,S,Raine,2016-07-16,8.4,3015,4,2,1,458.0,153.0,1930,Hobsons Bay,-37.8427,144.879,Western Metropolitan,5498
Newport,15 Berty Street,4,h,1040000.0,S,Greg,2016-09-17,8.4,3015,3,2,2,299.0,198.0,2004,Hobsons Bay,-37.8477,144.8706,Western Metropolitan,5498
Newport,75 Oakbank Street,2,h,922000.0,S,Williams,2016-09-17,8.4,3015,2,1,0,301.0,380.0,1964,Hobsons Bay,-37.8472,144.8907,Western Metropolitan,5498
Newport,4 Peel Street,5,h,2415000.0,S,Williams,2016-09-17,8.4,3015,3,3,2,803.0,293.0,1964,Hobsons Bay,-37.8463,144.8935,Western Metropolitan,5498
